0.5 & 0.47 & 0.481 & -0.011
1 & 0.266 & 0.273 & -0.008
1.5 & 0.171 & 0.172 & -0.002
2 & 0.121 & 0.117 & 0.003
3 & 0.076 & 0.064 & 0.012
0.5 & 0.435 & 0.459 & -0.024
1 & 0.23 & 0.248 & -0.019
1.5 & 0.14 & 0.149 & -0.01
2 & 0.095 & 0.097 & -0.002
3 & 0.062 & 0.048 & 0.014
0.5 & 0.446 & 0.448 & -0.002
1 & 0.24 & 0.237 & 0.003
1.5 & 0.147 & 0.139 & 0.007
2 & 0.099 & 0.088 & 0.011
3 & 0.057 & 0.042 & 0.015
0.5 & 0.443 & 0.456 & -0.013
1 & 0.237 & 0.246 & -0.009
1.5 & 0.144 & 0.147 & -0.003
2 & 0.098 & 0.095 & 0.003
3 & 0.06 & 0.047 & 0.013
