"id","index","m","H_init","rho_init","H_opt","rho_opt","value","counts","convergence","message","time_Min"
1,".AEX",102,0.01,0.5,0.99,4.10559612476724,-0.548103131602134,"11;11",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",55.0088
2,".AEX",102,0.01,1.5,0.0134319288644752,2.81662570053469,-1.05714892580942,"51;51",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",210.20445
3,".AEX",102,0.01,2.5,0.0170534940763401,2.5013601170787,-1.05671616165128,"17;17",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",75.40495
4,".AEX",102,0.01,3.5,0.00867458251839784,3.49541203722992,-1.05735229455828,"19;19",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",83.4251166666667
5,".AEX",102,0.05,0.5,0.99,4.10559612786364,-0.548103131601539,"9;9",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",36.8709166666667
6,".AEX",102,0.05,1.5,0.0134306315391827,2.81676117495082,-1.05714905070388,"81;81",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",300.209433333333
7,".AEX",102,0.05,2.5,0.0133591413760394,2.8222138429107,-1.05715552749848,"66;66",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",256.3074
8,".AEX",102,0.05,3.5,0.00969141223488189,3.31745229835733,-1.05735979271786,"19;19",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",83.55565
9,".AEX",102,0.1,0.5,0.977457547327146,2.61661969718112,-0.559667686020231,"81;81",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",298.65105
10,".AEX",102,0.1,1.5,0.013412543293454,2.81837621137602,-1.05715078355246,"44;44",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",186.467816666667
11,".AEX",102,0.1,2.5,0.0134247921012155,2.81726489813297,-1.05714961169194,"46;46",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",192.7915
12,".AEX",102,0.1,3.5,0.00993064231317559,3.27318411758871,-1.05736215031868,"18;18",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",78.8093333333333
13,".AEX",102,0.2,0.5,0.0134323805516056,2.81657814878954,-1.057148882319,"45;45",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",189.457366666667
14,".AEX",102,0.2,1.5,0.01328952808555,2.82908487426021,-1.0571619616984,"68;68",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",284.165383333333
15,".AEX",102,0.2,2.5,0.0134323778532998,2.81657844887815,-1.05714888257878,"75;75",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",283.218933333333
16,".AEX",102,0.2,3.5,0.0102290341192023,3.22760656102131,-1.05735423272143,"18;18",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",79.7815166666667
17,".AEX",102,0.3,0.5,0.0134308911076524,2.81671528772263,-1.05714902569325,"46;46",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",192.335133333333
18,".AEX",102,0.3,1.5,0.0134081566965608,2.81891557838642,-1.05715120791712,"39;39",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",166.01785
19,".AEX",102,0.3,2.5,0.0133735627479171,2.81679344482534,-1.05715112657021,"33;33",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",143.017183333333
20,".AEX",102,0.3,3.5,0.0104231145668562,3.19304001651427,-1.05735211439852,"21;21",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",92.5619833333333
21,".AEX",102,0.4,0.5,0.0134337093761823,2.81600740763937,-1.0571487356649,"31;31",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",147.27165
22,".AEX",102,0.4,1.5,0.0136577117206844,2.77716376749164,-1.05709899108513,"40;40",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",171.391633333333
23,".AEX",102,0.4,2.5,0.0134323822683444,2.81657801136008,-1.05714888215288,"66;66",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",257.24565
24,".AEX",102,0.4,3.5,0.0107273944051628,3.1444767987027,-1.05734138820256,"52;52",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",215.12495
25,".AEX",102,0.5,0.5,0.0134031641335204,2.81031932634752,-1.05714314619661,"46;46",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",193.8503
26,".AEX",102,0.5,1.5,0.0134250108032795,2.81727663999399,-1.05714959117763,"56;56",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",229.253333333333
27,".AEX",102,0.5,2.5,0.0135003289655513,2.80868332093482,-1.05714221748297,"57;57",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",230.164333333333
28,".AEX",102,0.5,3.5,0.0122761388496314,2.94480956356121,-1.05724914652263,"29;29",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",127.660566666667
29,".AEX",102,0.6,0.5,0.0135532104078135,2.80357321482066,-1.05713709351926,"93;93",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",352.7228
30,".AEX",102,0.6,1.5,0.0133900628079264,2.8201314268992,-1.0571528788787,"49;49",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",205.064316666667
31,".AEX",102,0.6,2.5,0.0134323023372512,2.81658624955083,-1.05714888985004,"89;89",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",321.882833333333
32,".AEX",102,0.6,3.5,0.0134185499390197,2.81780304891043,-1.05715020870899,"71;71",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",265.746433333333
33,".AEX",102,0.7,0.5,0.0134320874871488,2.81660733913759,-1.05714891053693,"78;78",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",293.041783333333
34,".AEX",102,0.7,1.5,0.0134323626095823,2.81655019545874,-1.05714888395974,"72;72",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",277.517866666667
35,".AEX",102,0.7,2.5,0.0134235464664699,2.81725090829128,-1.05714972683475,"65;65",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",250.125866666667
36,".AEX",102,0.7,3.5,0.0134901992798853,2.80939237852609,-1.05714313131987,"85;85",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",305.40965
37,".AEX",102,0.8,0.5,0.0134323550613641,2.81658055406629,-1.05714888477282,"59;59",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",238.228616666667
38,".AEX",102,0.8,1.5,0.013556658155113,2.79655324776218,-1.05713138999388,"56;56",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",225.963616666667
39,".AEX",102,0.8,2.5,0.0134340156309557,2.81586831105884,-1.05714869574666,"71;71",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",267.273966666667
