"id","freq","m","H_init","rho_init","H_opt","rho_opt","value","counts","convergence","message","time_Min"
1,"1S",86400,0.01,0.005,0.361082262974551,0.001,-6.17326843601166,"72;72",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",12.8994333333333
2,"1S",86400,0.01,0.01,0.36108212527974,0.001,-6.17326843601094,"61;61",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",10.8581333333333
3,"1S",86400,0.01,0.1,0.361082317505246,0.001,-6.17326843601039,"32;32",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.53221666666667
4,"1S",86400,0.01,1,0.361078941918672,0.001,-6.17326843603033,"51;51",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",9.63133333333334
5,"1S",86400,0.01,1.5,0.361082185113766,0.001,-6.17326843601197,"57;57",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",10.7858
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1S",86400,0.05,0.01,0.361078844338469,0.001,-6.17326843602869,"31;31",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.04663333333333
8,"1S",86400,0.05,0.1,0.361079176139852,0.001,-6.17326843602749,"26;26",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.31098333333333
9,"1S",86400,0.05,1,0.99,0.001,-6.1771417225911,"8;8",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",1.35616666666667
10,"1S",86400,0.05,1.5,0.361082497902286,0.001,-6.17326843600631,"59;59",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",11.1393
11,"1S",86400,0.1,0.005,0.361082279364038,0.001,-6.17326843600986,"27;27",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.24521666666667
12,"1S",86400,0.1,0.01,0.361082479866711,0.001,-6.17326843600774,"20;20",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.10851666666667
13,"1S",86400,0.1,0.1,0.36108215019664,0.001,-6.17326843601065,"28;28",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.77596666666667
14,"1S",86400,0.1,1,0.361082458415631,0.001,-6.17326843600728,"37;37",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.15928333333333
15,"1S",86400,0.1,1.5,0.361082463299648,0.001,-6.17326843600787,"56;56",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",10.5787833333333
16,"1S",86400,0.2,0.005,0.361081647664778,0.001,-6.17326843601886,"19;19",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.94633333333333
17,"1S",86400,0.2,0.01,0.361082362287463,0.001,-6.17326843600812,"20;20",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.14758333333333
18,"1S",86400,0.2,0.1,0.361082294158007,0.001,-6.17326843600745,"33;33",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.57545
19,"1S",86400,0.2,1,0.361079469159438,0.001,-6.17326843603032,"77;77",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",13.9646333333333
20,"1S",86400,0.2,1.5,0.361082511422875,0.001,-6.17326843600711,"57;57",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",10.8047833333333
